*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:19:54
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000229        0     000057019.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000230        0     000057086.8       接收     0000060A      标准帧      数据帧        04     03 00 F7 10      
000231        0     000057087.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000232        0     000057087.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000233        0     000057087.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000234        0     000057087.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000235        0     000057088.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000236        0     000057088.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000237        0     000057088.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000238        0     000057088.8       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000239        0     000057089.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000240        0     000057156.8       接收     0000060A      标准帧      数据帧        04     03 00 F9 10      
000241        0     000057157.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000242        0     000057157.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000243        0     000057157.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000244        0     000057157.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000245        0     000057158.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000246        0     000057158.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000247        0     000057158.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000248        0     000057158.8       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000249        0     000057159.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000250        0     000057231.7       接收     0000060A      标准帧      数据帧        04     03 00 FB 10      
000251        0     000057232.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000252        0     000057232.2       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000253        0     000057232.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000254        0     000057232.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000255        0     000057233.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000256        0     000057233.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000257        0     000057233.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000258        0     000057233.8       接收     0000060D      标准帧      数据帧        08     02 7D 4F A1 70 80 0A 0C      
000259        0     000057234.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000260        0     000057236.9       接收     00000201      标准帧      数据帧        08     40 1F 40 00 10 F4 00 00      
000261        0     000057237.1       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000262        0     000057301.7       接收     0000060A      标准帧      数据帧        04     03 00 FD 10      
000263        0     000057302.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000264        0     000057302.2       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000265        0     000057302.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000266        0     000057302.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000267        0     000057303.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000268        0     000057303.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000269        0     000057303.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000270        0     000057303.8       接收     0000060D      标准帧      数据帧        08     02 7D 4F A1 70 80 0A 0C      
000271        0     000057304.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000272        0     000057371.7       接收     0000060A      标准帧      数据帧        04     03 00 FF 10      
000273        0     000057372.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
